CTantigen
MAGEA1
MAGEA2
MAGEA3
MAGEA4
MAGEA5
MAGEA6
MAGEA8
MAGEA9
MAGEA10
MAGEA11
MAGEA12
BAGE2
BAGE5
MAGEB1
MAGEB2
MAGEB5
MAGEB6
MAGEB3
MAGEB4
GAGE1
GAGE2A
SSX1
SSX2
SSX3
SSX4
CTAG1B
CTAG2
MAGEC1
MAGEC3
SYCP1
BRDT
MAGEC2
SPANXA1
SPANXB1
SPANXC
SPANXD
SPANXN1
SPANXN2
SPANXN3
SPANXN4
SPANXN5
XAGE1B
XAGE2
XAGE3
XAGE5
DDX43
SAGE1
ADAM2
PAGE5
PAGE1
PAGE2
PAGE2B
PAGE3
PAGE4
LIPI
VENTXP1
IL13RA2
CTAGE1
CTAGE5
SPA17
ACRBP
CSAG1
CSAG2
DSCR8
DDX53
CTCFL
LUZP4
CASC5
TFDP3
KDM5B
LDHC
MORC1
DKKL1
SPO11
CRISP2
FMR1NB
FTHL17
NXF2
TAF7L
TDRD1
TDRD6
TEX15
FATE1
TPTE
CT45A1
CT45A2
CT45A3
CT45A5
CT45A6
HORMAD1
HORMAD2
CT47A1
CT47A2
CT47A3
CT47A4
CT47A5
CT47A6
CT47A7
CT47A8
CT47A9
CT47A10
CT47A11
CT47B1
SLCO6A1
LINC01194
LEMD1
HSPB9
CCDC110
ZNF165
SPACA3
CT55
THEG
ACTL8
NLRP4
COX6B2
LINC01193
CCDC33
CT62
PASD1
LINC01192
TULP2
RP5-942I16.1
PRSS54
RBM46
RP11-557H15.3
RP11-217B7.3
EPPIN
TSSK6
ADAM29
CCDC36
AC010980.2
SYCE1
CPXCR1
TSPY3
TSGA10
PIWIL2
ARMC3
AKAP3
CT83
PBK
ANKRD30BP2
OIP5
CEP290
CABYR
SPAG9
MPHOSPH10
ROPN1
PLAC1
CALR3
PRM1
PRM2
CAGE1
TTK
LY6K
IGF2BP3
AKAP4
DPPA2
KIAA0100
DCAF12
SEMG1
POTED
POTEE
POTEA
POTEG
POTEB
POTEC
POTEH
GOLGA6L2
NUF2
RHOXF2
OTOA
CCDC62
GPATCH2
CEP55
FAM46D
TEX14
CTNNA2
FAM133A
LYPD6B
ANKRD45
ELOVL4
IGSF11
TMEFF1
TMEFF2
ARX
SPEF2
GPAT2
TMEM108
NOL4
PTPN20
SPAG4
MAEL
RQCD1
PRAME
TEX101
SPATA19
ODF1
ODF2
ODF3
ODF4
ATAD2
ZNF645
KIF2C
SPAG1
SPAG6
SPAG8
SPAG17
FBXO39
RGS22
CCNA1
REC114
CCDC83
TEKT5
NR6A1
TMPRSS12
TPPP2
PRSS55
DMRT1
HEMGN
DNAJB8
CTAG1A
GAGE12B
GAGE12C
GAGE12D
GAGE12E
GAGE12F
GAGE12G
GAGE12H
GAGE12J
GAGE13
MAGEA2B
NXF2B
SPANXA2
SSX4B
SSX5
SSX6
SSX7
SSX9
TSPY2
SLC22A16
ZMYND10
AC004381.6
YBX2
KRT33A
DBF4
PRSS21
TKTL1
PHF7
ZBTB32
TACC3
DEPDC1
SOX30
ZPBP
GUCA1A
RAD51
MSH4
SLC6A16
AHRR
DDX20
ZMYND12
STAG3
SDK2
ADAM7
FRMPD1
EPHA8
TRIP13
HMMR
MOV10L1
FNDC8
WDR62
TUBA3D
FKBP6
SMC1B
PIAS2
ZCWPW1
PKD2L2
EPHA6
PIH1D3
AGBL5
NME8
PPEF1
AURKA
TPX2
ARHGAP28
CMTM1
ORC6
RPGRIP1
DAZL
CLSPN
CDC45
MYO3A
CATSPERG
IZUMO4
YPEL1
DMC1
ACR
CDKN3
LRRC74A
SAMD15
GINS1
MYBL2
SLC52A3
MROH8
CST9L
RHOXF1
GUCY2F
ASB9
CBLN1
SLC6A2
CGB2
RSPH6A
ASF1B
SLC1A6
AURKC
LGALS13
ZNRF4
SYNGR4
ETV2
GAPDHS
RNF32
ANKRD7
SPAM1
FSCN3
FBXO24
NOBOX
TBL2
GALNTL5
UBE2S
KIAA1211
DDX25
CCDC34
GSG1
MAK
OPRM1
SLC26A8
PRDM13
HDGFL1
IL5
GNAT1
ROPN1B
KIAA1257
SLC30A3
PCSK4
PRAMEF1
PRAMEF12
SSX2IP
NEK2
ZNF541
TNP1
CASC1
SPACA1
ZC2HC1B
ADGB
ZC2HC1C
CFAP58
EQTN
INSL6
SLC25A2
TTLL2
TEX11
LYZL1
SOHLH2
PRAMEF2
NCAPH
MND1
BCL2L14
RGSL1
DPPA4
KIF18A
GJA8
CCDC70
HJURP
H2BFWT
ESX1
CKS2
DAW1
WFDC3
GTSF1L
IRGC
TCP11
DNAH8
CRISP1
OPN5
PIWIL1
C17orf53
GRK4
TEKT3
C20orf195
BHLHE23
DEFB126
CSTL1
BANF2
SIRPD
C20orf173
TSKS
DLGAP5
PRDM7
HRASLS
AUNIP
PKMYT1
SPINK2
C22orf23
RIBC2
CCDC136
FEZF1
AIPL1
QRICH2
AANAT
SGOL1
CDY2B
TSPAN16
ATP8B3
ACSBG2
SAG
HBZ
PKDREJ
HSD17B3
TTLL9
BPIFA2
C3orf20
KRT33B
TOP2A
USP29
LIN28A
C19orf57
CCT6B
ATP1A4
MTL5
TPTE2
RNF17
FAM83F
LRRIQ1
VRTN
ADAM20
ADAM30
USP26
MTNR1B
CDCA8
ACRV1
CSN2
FAM71F1
FAM186B
TROAP
NMBR
EGR4
GPR55
NKX2-8
MYCBPAP
BRIP1
CAPN11
C6orf52
TTC29
MMP20
C11orf70
BTG4
CCDC54
MNS1
HERC5
IL21
C4orf17
PLCZ1
SYCP3
FOXN4
CCDC65
MORN3
DIAPH3
RNF113B
ZIC5
FAM181A
GOLGA6D
WDR93
SEPT12
ABCC12
CMTM2
ADAD2
DPEP3
SPATA22
C17orf64
ZMYND15
FBXO15
ZIM3
CIB3
DMRTC2
ACPT
FAM71E1
FHAD1
C1orf94
PLK4
AZIN2
DMRTB1
BARHL2
ADCY10
C1orf56
OAZ3
DTL
DYRK3
HHIPL2
NUP210L
ABHD1
TRIM43
CCDC150
SLC22A14
SPATA16
CABS1
ROPN1L
SPATA9
TIMD4
FAM217A
TCTE1
GABRR1
MTFR2
PNLDC1
CDCA5
RAB41
DNAJC5B
PRDM14
ACTL7B
HTR7
LRRC27
PAOX
KLHL35
OOSP2
CCDC15
CNBD2
CABLES2
FAM57B
SPATA4
FSIP1
PIH1D2
TEX12
TKTL2
LYZL2
RAD9B
TEX30
ALLC
POU4F2
CENPU
PABPC3
TUBA3E
POU4F1
GRID2
BOLL
OLAH
TRIM36
DMP1
DDX4
CATSPER3
CENPH
FAM81B
TEX29
TGIF2LX
C7orf31
ASB17
DNAAF1
PANX3
ASZ1
CCDC173
SRSF12
PSMA8
CHODL
EME1
SEPT14
PPM1J
LRGUK
PDZD9
ALS2CR12
ALS2CR11
SAXO1
TRIM42
NAA11
FBXO43
BUB1B
SHCBP1L
LYZL4
C1orf158
ARMC12
CCNB2
LCA5L
C9orf43
CIB4
CDC25C
RIBC1
CPA5
POM121L2
IGF2BP1
GIP
GOLGA6A
M1AP
TGM7
DRC7
C16orf86
HSF2BP
CLDND2
HIPK4
LRRC71
LRWD1
FBXL13
CCDC116
KLHL10
CCDC155
IZUMO2
AQP5
SYCE2
CCDC42
MEIOB
CLPB
PPP1R32
TTLL10
CCDC27
LRRIQ3
LHX8
HENMT1
SLC9C2
LRRC52
FAM71A
AXDND1
TDRD5
SPATA17
WDR64
TRIM17
ZSWIM2
TEKT4
BIRC8
PDHA2
SMCP
TDRD10
CRYGC
C1orf189
DCST1
C3orf30
PDCL2
TSACC
NEK10
SGOL2
ERICH6
FANCD2OS
PLSCR2
CCDC158
DNAJC5G
SPDYA
KIF15
DNALI1
CCDC37
RPL39L
ZDHHC19
SLC9B1
CDC25A
HSPA4L
ADAD1
PRDM9
SPZ1
FAM170A
GDF9
C7orf72
ANKRD55
PTTG1
C7orf62
IQUB
SUN3
GBX1
PRKACG
PRSS37
GKAP1
C7orf34
C9orf84
CXorf58
CCDC67
LRRC18
DDIAS
RPL10L
NOXRED1
AKR1E2
SOHLH1
AK8
C9orf9
C12orf50
PPP1R36
C10orf82
CCDC38
TMCO5A
TBATA
C16orf71
C11orf65
WDR88
BEAN1
IQCD
LDHAL6A
PLK1
MS4A6E
MS4A14
TCP10L2
C15orf43
TTC16
C16orf92
GOLGA6C
LOXHD1
SPATA33
PROCA1
LALBA
NLRP7
TTC21A
C11orf85
HIST3H3
KCNV2
TXNDC2
DYNLRB2
ADAM18
KCTD19
TRIM49
VCX3A
ARMC4
IL13
OR6F1
ELSPBP1
RSPH10B2
BUB1
ACTRT2
RBMY1F
HSFY2
USP50
C7orf33
SPATA24
KRT72
COX7B2
GTSF1
TTLL6
RBMXL2
TPD52L3
DYDC1
FSHR
TEX13B
MBD3L1
PGK2
OBP2B
CSN3
NLRP5
SPACA5
MROH2B
OTP
C1orf111
SLFNL1
UTF1
WDR87
PRND
KLF17
FBXW10
FOXB1
LDHAL6B
TEX37
SLC9C1
CFAP53
EFCAB3
FAM170B
ZFAND4
MOS
FAM71D
TMEM217
XKR3
CCDC63
ADAMTS20
PLAC8L1
IQCF1
GLIPR1L1
RNASE11
C2orf70
HES3
SPATA3
TDRD12
MARCH10
PHOSPHO1
CBX2
KRT28
SPERT
C9orf131
ARL13A
STARD6
MYO1H
PCP2
TEX36
FAM182B
CATSPER1
RFESD
UBQLNL
UBQLN3
TEX26
CCDC168
WBSCR28
TMPRSS7
ZNF683
HSF5
ENTHD1
HMGB4
OR4N2
OR4M1
FOXR1
CNTD1
DCAF4L2
CNBD1
TGIF2LY
PFN4
MAGEB18
EFCAB5
TRIM60
FAM9B
CETN1
SPACA4
BEND2
UBE2U
RBM44
VCX2
FAM187B
C12orf54
C2orf57
MAGEB10
CAPZA3
SPATA31E1
C2orf73
TSPYL6
MLF1
PPP1R42
SPAG11A
CCDC185
NEUROG2
MCMDC2
DEFB125
C10orf53
GDPD4
H1FOO
TPRX1
EXD1
TRIML2
ZFP42
CCDC89
C12orf42
C10orf67
PXT1
GGN
SIGLECL1
TMEM31
C1orf101
NLRP8
NLRP11
FAM71E2
WFDC11
C12orf40
CSNK1A1L
C17orf104
DEFB123
GLIPR1L2
DEFB119
C3orf22
LINC01555
C11orf42
C17orf47
PENK
EDDM3A
ODF3L2
ACTL9
FTMT
ADIG
ZNF716
IZUMO1
DCAF4L1
TEX19
KPNA2
VCX
TMEM95
ODF3L1
C12orf60
WBP2NL
TISP43
FAM9A
SPDYE4
TMEM89
SH2D7
MEX3B
